"videoId","title","filename","publishedAt","bang_count"
"MaSHiLqEn1Y","SGB From Telos  5 BILLION GP Claim! | The RS Guy VODS","SGB From Telos  5 BILLION GP Claim!  The RS Guy VODS.txt","2024-09-16T20:30:10Z",23
"AKOU7Ba6VgE","It's my Birthday! Risking a Glacor Core on a 200ks for a MASSIVE 5b+ GP claim | The RS Guy VODS","It's my Birthday! Risking a Glacor Core on a 200ks for a MASSIVE 5b+ GP claim  The RS Guy VODS.txt","2024-09-14T02:26:48Z",5
"G49BRmpkmd8","Trying to claim 5,000,000,000 GP in 1 minute! | The RS Guy VODS","Trying to claim 5,000,000,000 GP in 1 minute!  The RS Guy VODS.txt","2024-09-12T02:51:13Z",11
"eRuBlenmAFc","Hardcore ironman Adventure on the Front Page of Twitch! RuneScape 3 Showcase, ask me anything! | The","Hardcore ironman Adventure on the Front Page of Twitch! RuneScape 3 Showcase, ask me anything!  The.txt","2024-09-10T09:32:44Z",30
"yrkdomf9q3A","Glacor Core ✅ HM Nakatra Drop ✅ Zamorak and Telos and Vorkath! | The RS Guy VODS","Glacor Core ✅ HM Nakatra Drop ✅ Zamorak and Telos and Vorkath!  The RS Guy VODS.txt","2024-09-09T19:28:59Z",41
"QMgAWw92Dsc","Road to the World's Biggest PvM Broadcast!! Arch Glacor core + Sanctum done!","Road to the World's Biggest PvM Broadcast!! Arch Glacor core + Sanctum done!.txt","2024-09-09T03:42:36Z",13
"VvOchO6T4J4","Road to the World's Biggest PvM Broadcast!! Arch Glacor core is done! Now it's 200ks at Telos time!","Road to the World's Biggest PvM Broadcast!! Arch Glacor core is done! Now it's 200ks at Telos time!.txt","2024-09-07T06:26:37Z",16
"4p3eWeKRmMc","Rebuilding with the World's Biggest Broadcast!! | The RS Guy VODS","Rebuilding with the World's Biggest Broadcast!!  The RS Guy VODS.txt","2024-09-06T09:23:14Z",8
"xL3ZE2T0E2c","Rebuilding with the World's Biggest Broadcast!! | The RS Guy VODS","Rebuilding with the World's Biggest Broadcast!!  The RS Guy VODS.txt","2024-09-05T18:18:54Z",18
"OnK0EHIBc4E","Rebuilding with the World's Biggest Broadcast!! | The RS Guy VODS","Rebuilding with the World's Biggest Broadcast!!  The RS Guy VODS.txt","2024-09-05T05:20:25Z",18
