"videoId","title","filename","publishedAt","bang_count"
"CHMAxEeDXxs","RS3 - Bank Video! 500m+ (The RS Guy)","RS3 - Bank Video! 500m+ (The RS Guy).txt","2014-09-07T01:42:24Z",0
"o587Q8ls_lg","RS3 - The Pure Progress! Prayer, Strength, and 400's?","RS3 - The Pure Progress! Prayer, Strength, and 400's.txt","2014-08-30T22:23:44Z",0
"j4zzt6sf5Ng","Runescape PK Commentary #6 - BAMF SPECS! [Legacy]","Runescape PK Commentary #6 - BAMF SPECS! [Legacy].txt","2014-08-27T19:19:49Z",0
"TQzLXapPJqA","RS3 - Tz-Tok-Jad Guide! Full In-Depth Guide to Killing Jad with Mage/Range [outdated]","RS3 - Tz-Tok-Jad Guide! Full In-Depth Guide to Killing Jad with MageRange [outdated].txt","2014-08-27T05:23:50Z",0
"eJoIxSB4zgQ","Pure Progress ep.1 ""Welcome to the Pure!""","Pure Progress ep.1 Welcome to the Pure!.txt","2014-08-26T18:47:27Z",0
"xGKYk_5iNTo","Runescape Detailed low level Queen Black Dragon (QBD) Guide! Legacy/EOC! | [outdated]","Runescape Detailed low level Queen Black Dragon (QBD) Guide! LegacyEOC!  [outdated].txt","2014-08-11T14:40:29Z",0
"i5mAf1CKKoI","Skilling To The Max Episode 6! ""Getting dem 99's doe!""","Skilling To The Max Episode 6! Getting dem 99's doe!.txt","2014-08-09T18:29:36Z",0
"osE5WVs5eSQ","Runescape Money Making Guide Medium Level 1-1.5m/hr! Easy Money","Runescape Money Making Guide Medium Level 1-1.5mhr! Easy Money.txt","2014-08-03T19:15:34Z",0
"CNGus2VXDgo","Road to 500m Drop Tab - SERIES COMPLETE! (Episode 22)","Road to 500m Drop Tab - SERIES COMPLETE! (Episode 22).txt","2014-07-29T17:47:42Z",0
"xry8d_t9hOU","Ultimate Corp Solo Guide [LEGACY!] Runescape 3 (Corporeal Beast) [outdated]","Ultimate Corp Solo Guide [LEGACY!] Runescape 3 (Corporeal Beast) [outdated].txt","2014-07-22T02:54:33Z",0
"e2TQkfoGT5I","RS3 Money Making Guide - Make 75-150k in Two minutes!","RS3 Money Making Guide - Make 75-150k in Two minutes!.txt","2014-07-21T05:00:38Z",0
"L23ihZpE17o","Road to Third Age! Clue 2 ¶ ""Not punny at all..""","Road to Third Age! Clue 2 ¶ Not punny at all...txt","2014-07-09T16:06:14Z",2
"Zq0eGung16k","Detailed Low Level Arma (Kree'arra) Solo Guide! Runescape 3 [outdated]","Detailed Low Level Arma (Kree'arra) Solo Guide! Runescape 3 [outdated].txt","2014-07-03T00:27:41Z",0
"L6Ut0dFWrMM","Ultimate Corp Solo Guide! Runescape 3 (corporeal beast) [outdated]","Ultimate Corp Solo Guide! Runescape 3 (corporeal beast) [outdated].txt","2014-04-24T00:47:41Z",0
"yaxC7thL_wo","TheRSbro EP.02 *TOO CLOSE TO CALL* Runescape Bossing","TheRSbro EP.02 TOO CLOSE TO CALL Runescape Bossing.txt","2014-04-14T15:15:18Z",1
"32D2aUYB8v0","The Bossing Brother Episode One! ""PARTIAL SUCESS""","The Bossing Brother Episode One! PARTIAL SUCESS.txt","2014-03-24T01:04:39Z",0
"Tf32twH10l4","Runescape Royal Crossbow Guide! How to Make a RCB! The Easy Way [outdated]","Runescape Royal Crossbow Guide! How to Make a RCB! The Easy Way [outdated].txt","2013-11-23T18:19:17Z",0
"sn1UXzQhuJ0","Runescape Detailed Low Level Queen Black Dragon (QBD) Guide! With Magic! [outdated]","Runescape Detailed Low Level Queen Black Dragon (QBD) Guide! With Magic! [outdated].txt","2013-11-17T04:30:53Z",0
